epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.761522,1.46217,2.54571,1.03237,0,0,0,0,0,9.28906,0,0,0,0
2,1.02648,1.50905,2.40147,1.09011,0,0,0,0,0,9.3125,0,1.07434e-05,1.07434e-05,1.07434e-05
3,1.38989,1.45099,2.64087,1.14368,0,0,0,0,0,9.39844,0,2.07535e-05,2.07535e-05,2.07535e-05
4,1.79777,1.3149,2.54154,1.03356,0,0,0,0,0,9.41406,0,3.00303e-05,3.00303e-05,3.00303e-05
5,2.14764,1.41017,2.48107,1.15291,0,0,0,0,0,9.46094,0,3.85739e-05,3.85739e-05,3.85739e-05
6,2.4787,1.37403,2.32702,1.04912,0,0,0,0,0,9.53125,0,4.63843e-05,4.63843e-05,4.63843e-05
7,2.81893,1.50739,2.48486,1.05293,0,0,0,0,0,9.54688,0,5.34613e-05,5.34613e-05,5.34613e-05
8,3.15628,1.39566,2.34532,1.02783,0,0,0,0,0,9.48438,0,5.98051e-05,5.98051e-05,5.98051e-05
9,3.49091,1.43072,2.36495,1.08983,0,0,0,0,0,9.42969,0,6.54157e-05,6.54157e-05,6.54157e-05
10,3.8279,1.26727,2.23729,1.01206,0,0,0,0,0,9.36719,0,7.0293e-05,7.0293e-05,7.0293e-05
11,4.1606,1.38847,2.4065,1.01062,0,0,0,0,0,9.26562,0,7.4437e-05,7.4437e-05,7.4437e-05
12,4.50536,1.29115,2.22151,0.99667,0,0,0,0,0,9.1875,0,7.78478e-05,7.78478e-05,7.78478e-05
13,4.84334,1.33506,2.038,1.04622,0,0,0,0,0,9.09375,0,8.05253e-05,8.05253e-05,8.05253e-05
14,5.18986,1.35991,2.40854,1.00137,0,0,0,0,0,8.99219,0,8.24695e-05,8.24695e-05,8.24695e-05
15,5.52031,1.28391,2.31138,1.06362,0,0,0,0,0,8.92969,0,8.36805e-05,8.36805e-05,8.36805e-05
16,5.85413,1.47136,2.20642,1.0755,0,0,0,0,0,8.9375,0,8.41583e-05,8.41583e-05,8.41583e-05
17,6.19936,1.3241,2.16879,1.13097,0,0,0,0,0,9.05469,0,8.39027e-05,8.39027e-05,8.39027e-05
18,6.52492,1.33263,2.00124,1.02872,0,0,0,0,0,9.05469,0,8.29139e-05,8.29139e-05,8.29139e-05
19,6.86376,1.40238,1.95611,1.04619,0,0,0,0,0,9.32812,0,8.11919e-05,8.11919e-05,8.11919e-05
20,7.18517,1.34575,2.26586,1.06021,0,0,0,0,0,9.32812,0,7.87366e-05,7.87366e-05,7.87366e-05
21,8.25921,1.38104,2.04991,1.14843,0,0,0,0,0,9.59375,0,7.5548e-05,7.5548e-05,7.5548e-05
22,8.65069,1.40254,1.93686,1.13005,0,0,0,0,0,9.59375,0,7.16262e-05,7.16262e-05,7.16262e-05
23,9.01921,1.46062,2.00836,1.15265,0,0,0,0,0,10.2031,0,6.69711e-05,6.69711e-05,6.69711e-05
24,9.33773,1.32567,1.87484,1.03481,0,0,0,0,0,10.2031,0,6.15827e-05,6.15827e-05,6.15827e-05
25,9.66704,1.3625,1.84347,1.08919,0,0,0,0,0,10.9922,0,5.54611e-05,5.54611e-05,5.54611e-05
26,9.9843,1.40598,1.92828,1.11994,0,0,0,0,0,10.9922,0,4.86062e-05,4.86062e-05,4.86062e-05
27,10.3118,1.46388,1.90604,1.05431,0,0,0,0,0,11.8906,0,4.10181e-05,4.10181e-05,4.10181e-05
28,10.6279,1.45569,1.92159,1.11639,0,0,0,0,0,11.8906,0,3.26967e-05,3.26967e-05,3.26967e-05
29,10.9582,1.41367,1.93317,1.03522,0,0,0,0,0,12.875,0,2.36421e-05,2.36421e-05,2.36421e-05
30,11.2818,1.34939,1.8977,1.08281,0,0,0,0,0,12.875,0,1.38542e-05,1.38542e-05,1.38542e-05
