epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58089,1.06348,0.87117,0.99042,0.92653,0.88969,0.9473,0.74082,0.85207,0.60132,0.92792,5.555e-05,5.555e-05,5.555e-05
2,6.49322,1.02135,0.83888,0.98693,0.91067,0.88338,0.94588,0.71088,0.93003,0.66454,0.94566,0.000120194,0.000120194,0.000120194
3,9.39206,1.05198,0.82151,0.96626,0.9263,0.8905,0.94563,0.71846,0.92281,0.63803,0.94003,0.000182637,0.000182637,0.000182637
4,12.6584,0.99383,0.76598,0.96528,0.92856,0.89925,0.9491,0.72191,0.90716,0.64933,0.94034,0.000242881,0.000242881,0.000242881
5,15.8412,1.11326,0.81,0.98849,0.93477,0.88871,0.94783,0.71477,0.92524,0.65314,0.93966,0.000300925,0.000300925,0.000300925
6,19.3813,1.0438,0.80893,0.98444,0.93827,0.88669,0.95218,0.68851,0.9937,0.69122,0.96074,0.00035677,0.00035677,0.00035677
7,22.4691,1.06175,0.85549,1.00444,0.91606,0.88618,0.9504,0.68605,0.96174,0.69378,0.96034,0.000410415,0.000410415,0.000410415
8,25.9599,1.08716,0.83197,1.00472,0.89914,0.88992,0.94409,0.66919,1.0424,0.73551,0.97499,0.000461859,0.000461859,0.000461859
9,28.8673,1.11647,0.8674,0.98346,0.8926,0.85168,0.93367,0.67046,0.98637,0.73608,0.95225,0.000511104,0.000511104,0.000511104
10,32.2782,1.06364,0.83805,0.98842,0.91709,0.86943,0.93538,0.67931,0.99841,0.6839,0.95893,0.00055815,0.00055815,0.00055815
11,35.2027,1.08458,0.83506,0.99415,0.91567,0.86558,0.93401,0.68621,0.99233,0.70261,0.96457,0.000602995,0.000602995,0.000602995
12,38.7369,1.09843,0.82569,0.97455,0.90651,0.85805,0.92855,0.68759,0.96167,0.69335,0.95365,0.000645641,0.000645641,0.000645641
13,42.2284,1.06702,0.88469,1.00837,0.87116,0.86166,0.91182,0.65425,1.00469,0.72997,0.96109,0.000686087,0.000686087,0.000686087
14,45.7607,1.09232,0.84806,0.98549,0.86484,0.85395,0.91555,0.66832,0.98013,0.72009,0.95727,0.000724333,0.000724333,0.000724333
15,48.8976,1.09676,0.85959,1.00618,0.88852,0.82979,0.92713,0.67662,0.99931,0.72055,0.96535,0.00076038,0.00076038,0.00076038
16,52.5092,1.09619,0.86028,0.99312,0.88759,0.84718,0.93062,0.67667,0.98103,0.74687,0.9627,0.000794226,0.000794226,0.000794226
17,55.5293,1.07506,0.82772,0.98224,0.90704,0.83526,0.93172,0.66984,0.9959,0.76102,0.9722,0.000817696,0.000817696,0.000817696
18,59.2576,1.09929,0.82573,0.96824,0.91279,0.79866,0.91788,0.66135,0.98777,0.76298,0.97098,0.000799365,0.000799365,0.000799365
19,63.2472,1.07157,0.84762,1.00344,0.91399,0.79727,0.92012,0.67044,0.9896,0.74664,0.96679,0.000781033,0.000781033,0.000781033
20,67.2172,1.09557,0.8436,0.99518,0.8684,0.85467,0.93668,0.67516,0.99538,0.7173,0.96258,0.000762702,0.000762702,0.000762702
21,71.1603,1.05443,0.80994,1.00304,0.86575,0.87133,0.92332,0.66104,1.02195,0.74936,0.96601,0.00074437,0.00074437,0.00074437
22,74.166,1.09326,0.85958,1.00394,0.90368,0.83634,0.92383,0.67017,0.96866,0.76169,0.94306,0.000726038,0.000726038,0.000726038
