epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82628,1.01915,0.92641,0.99389,0.94522,0.84989,0.94203,0.69293,0.92247,0.7593,0.93911,0.00026664,0.00026664,0.00026664
2,8.87783,1.10331,0.95569,1.01091,0.80219,0.84799,0.90158,0.65951,0.94522,0.7978,0.95104,0.000535408,0.000535408,0.000535408
3,13.1547,1.08106,0.90825,1.01592,0.83354,0.87932,0.92169,0.67967,0.94104,0.75931,0.95759,0.000795009,0.000795009,0.000795009
4,19.2317,1.11488,0.93428,1.03009,0.8707,0.86676,0.93168,0.68529,0.93242,0.72977,0.94829,0.00104545,0.00104545,0.00104545
5,24.7296,1.12316,0.94352,1.01561,0.84908,0.8757,0.93105,0.66473,0.98751,0.78767,0.96137,0.00103767,0.00103767,0.00103767
6,31.0615,1.14943,0.99895,1.0366,0.88344,0.85123,0.93647,0.68578,0.95046,0.76155,0.96063,0.00101934,0.00101934,0.00101934
7,36.8646,1.17432,1.00285,1.0443,0.88064,0.88095,0.94581,0.6997,0.93463,0.7317,0.95506,0.00100101,0.00100101,0.00100101
8,43.0506,1.12766,0.98139,1.04228,0.91037,0.88627,0.94911,0.69765,0.94806,0.71425,0.95701,0.000982679,0.000982679,0.000982679
9,48.8199,1.11334,0.96417,1.01288,0.92568,0.86366,0.9514,0.69727,0.97781,0.71092,0.97058,0.000964348,0.000964348,0.000964348
10,54.848,1.13149,0.94961,1.03776,0.89943,0.87008,0.93314,0.68065,0.9628,0.72871,0.96849,0.000946016,0.000946016,0.000946016
11,63.3793,1.11141,0.95259,1.04474,0.9035,0.86305,0.93327,0.67047,0.97346,0.74644,0.97098,0.000927685,0.000927685,0.000927685
12,71.046,1.15074,0.91002,1.02602,0.90951,0.89903,0.95234,0.68942,0.95172,0.74948,0.96491,0.000909353,0.000909353,0.000909353
13,77.2654,1.10504,0.90295,1.04327,0.91969,0.88967,0.94656,0.68174,0.95938,0.74078,0.96476,0.000891022,0.000891022,0.000891022
14,83.0987,1.16401,0.96378,1.0287,0.87845,0.87886,0.95071,0.69912,0.94287,0.70104,0.95603,0.000872691,0.000872691,0.000872691
15,89.3571,1.13145,0.91235,1.03058,0.91798,0.8608,0.95523,0.68944,0.95237,0.70789,0.96249,0.000854359,0.000854359,0.000854359
16,95.2947,1.11127,0.89242,1.00094,0.91003,0.87677,0.95365,0.70244,0.92491,0.69473,0.95106,0.000836027,0.000836027,0.000836027
17,101.296,1.09681,0.90487,1.00789,0.89588,0.87031,0.94636,0.69024,0.93779,0.66827,0.95179,0.000817696,0.000817696,0.000817696
18,106.833,1.08733,0.86789,1.0079,0.90135,0.87088,0.94348,0.69638,0.93729,0.67984,0.95174,0.000799365,0.000799365,0.000799365
19,112.221,1.07547,0.85039,0.9942,0.89775,0.88425,0.94901,0.71774,0.91876,0.66764,0.9502,0.000781033,0.000781033,0.000781033
20,117.728,1.06816,0.85339,1.00544,0.91024,0.88973,0.95351,0.71318,0.91483,0.64459,0.9494,0.000762702,0.000762702,0.000762702
21,123.484,1.10035,0.85881,1.02409,0.91818,0.89423,0.94987,0.71732,0.90455,0.63269,0.94177,0.00074437,0.00074437,0.00074437
22,129.967,1.01846,0.79853,0.98882,0.91271,0.8991,0.95012,0.71393,0.92537,0.63946,0.94803,0.000726038,0.000726038,0.000726038
23,136.43,1.06078,0.88499,1.00349,0.91953,0.89928,0.95102,0.71055,0.93542,0.65062,0.95187,0.000707707,0.000707707,0.000707707
24,142.261,1.07832,0.84693,1.01298,0.93288,0.90795,0.9604,0.73043,0.88431,0.62973,0.93393,0.000689376,0.000689376,0.000689376
25,148.754,1.07958,0.8577,1.00002,0.94186,0.89086,0.95888,0.72531,0.89095,0.62573,0.93751,0.000671044,0.000671044,0.000671044
26,154.647,1.03523,0.81745,0.99446,0.93389,0.89995,0.95671,0.72649,0.87481,0.61684,0.93522,0.000652712,0.000652712,0.000652712
27,161.082,0.98087,0.7438,0.9707,0.93286,0.89899,0.95842,0.73215,0.86349,0.60716,0.93279,0.000634381,0.000634381,0.000634381
28,167.781,1.11338,0.84227,0.99964,0.91968,0.90289,0.95914,0.73206,0.86286,0.6146,0.93113,0.000616049,0.000616049,0.000616049
29,173.782,1.00333,0.80891,1.00564,0.92424,0.9038,0.96181,0.72784,0.85819,0.60589,0.9296,0.000597718,0.000597718,0.000597718
30,180.336,1.00509,0.80577,0.9911,0.91112,0.91298,0.96079,0.73339,0.84005,0.59427,0.92224,0.000579386,0.000579386,0.000579386
31,186.387,1.05943,0.80043,0.97754,0.92457,0.91814,0.96541,0.73796,0.84056,0.58624,0.9195,0.000561055,0.000561055,0.000561055
32,192.174,1.03182,0.80128,1.00049,0.94026,0.92042,0.97026,0.74323,0.83846,0.58283,0.91865,0.000542723,0.000542723,0.000542723
33,197.358,1.0237,0.80699,0.99611,0.95155,0.91919,0.97213,0.74974,0.83608,0.5885,0.91594,0.000524392,0.000524392,0.000524392
34,203.536,0.98338,0.78661,0.99177,0.94187,0.93047,0.97256,0.74976,0.84552,0.58345,0.91628,0.00050606,0.00050606,0.00050606
35,209.686,1.02422,0.80189,0.98634,0.94696,0.92072,0.97319,0.7495,0.86835,0.57913,0.92091,0.000487729,0.000487729,0.000487729
36,219.27,0.97815,0.77004,0.96837,0.92353,0.93722,0.97361,0.75333,0.84735,0.57264,0.91429,0.000469397,0.000469397,0.000469397
37,226.028,0.93809,0.72912,0.95656,0.94206,0.92127,0.9732,0.76127,0.82069,0.55654,0.90612,0.000451066,0.000451066,0.000451066
38,232.895,0.94978,0.72879,0.95727,0.95446,0.91776,0.97447,0.76598,0.82841,0.55411,0.90995,0.000432734,0.000432734,0.000432734
39,241.477,1.02232,0.76424,0.98323,0.94553,0.93009,0.9753,0.76344,0.81369,0.55451,0.90849,0.000414403,0.000414403,0.000414403
40,248.295,0.99662,0.76836,0.97739,0.95501,0.92305,0.97514,0.76715,0.80149,0.54871,0.90374,0.000396071,0.000396071,0.000396071
41,257.245,0.96104,0.73177,0.95876,0.93733,0.93334,0.97458,0.76624,0.796,0.54101,0.90193,0.00037774,0.00037774,0.00037774
