epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.733236,1.48753,2.59534,1.03152,0.10346,0.8404,0.27101,0.18583,1.35271,3.10525,1.04691,0,0,0
2,0.993955,1.42125,2.49514,1.06287,0.10377,0.84949,0.27425,0.18796,1.35253,3.09285,1.04559,1.07434e-05,1.07434e-05,1.07434e-05
3,1.30868,1.69934,2.60776,1.19682,0.10616,0.85859,0.27746,0.18917,1.35464,3.08665,1.04952,2.07535e-05,2.07535e-05,2.07535e-05
4,1.64834,1.35569,2.5075,1.07613,0.10323,0.84209,0.27467,0.18821,1.35544,3.08872,1.05268,3.00303e-05,3.00303e-05,3.00303e-05
5,1.9666,1.39444,2.4316,1.13949,0.10566,0.85118,0.27627,0.18358,1.36597,3.07837,1.05345,3.85739e-05,3.85739e-05,3.85739e-05
6,2.26819,1.39068,2.36497,1.01727,0.10577,0.84377,0.27399,0.18234,1.37578,3.06904,1.05745,4.63843e-05,4.63843e-05,4.63843e-05
7,2.69901,1.51967,2.4773,1.03634,0.10591,0.85286,0.27296,0.18706,1.36751,3.04717,1.04752,5.34613e-05,5.34613e-05,5.34613e-05
8,3.01081,1.29423,2.56001,1.14989,0.1078,0.86195,0.27602,0.19216,1.37986,3.03634,1.05079,5.98051e-05,5.98051e-05,5.98051e-05
9,3.34121,1.46015,2.33127,1.0356,0.10979,0.86195,0.27132,0.18829,1.38329,3.02241,1.04969,6.54157e-05,6.54157e-05,6.54157e-05
10,3.6408,1.36007,2.35028,1.03321,0.11094,0.85084,0.26857,0.18687,1.38495,3.01109,1.04752,7.0293e-05,7.0293e-05,7.0293e-05
11,3.95284,1.41846,2.41565,1.08137,0.11289,0.85084,0.27052,0.18681,1.39336,2.9973,1.05268,7.4437e-05,7.4437e-05,7.4437e-05
12,4.2532,1.44719,2.14573,1.03275,0.1158,0.85993,0.27538,0.18944,1.39636,2.98763,1.05345,7.78478e-05,7.78478e-05,7.78478e-05
13,4.55632,1.48333,2.41431,1.20136,0.11769,0.85993,0.27905,0.19012,1.39758,2.97982,1.05733,8.05253e-05,8.05253e-05,8.05253e-05
14,4.86172,1.42954,2.00556,1.13753,0.11954,0.85993,0.27953,0.19061,1.39884,2.97618,1.06799,8.24695e-05,8.24695e-05,8.24695e-05
15,5.17381,1.45274,2.30345,1.05309,0.12135,0.86734,0.28651,0.1941,1.39517,2.97784,1.06741,8.36805e-05,8.36805e-05,8.36805e-05
16,5.50724,1.36671,2.59895,1.03728,0.11592,0.85623,0.28936,0.19038,1.38994,2.98937,1.07079,8.41583e-05,8.41583e-05,8.41583e-05
17,5.82214,1.28583,2.36867,1.0372,0.11083,0.83232,0.29925,0.19808,1.38895,2.99211,1.07195,8.39027e-05,8.39027e-05,8.39027e-05
18,6.13716,1.50927,2.11437,1.09669,0.11083,0.83232,0.29925,0.19808,1.38895,2.99211,1.07195,8.29139e-05,8.29139e-05,8.29139e-05
19,6.46484,1.60553,2.23491,1.01579,0.12089,0.88384,0.29915,0.19425,1.39496,2.96376,1.07526,8.11919e-05,8.11919e-05,8.11919e-05
20,6.75279,1.85226,2.56785,1.11672,0.12089,0.88384,0.29915,0.19425,1.39496,2.96376,1.07526,7.87366e-05,7.87366e-05,7.87366e-05
21,7.75875,1.34877,1.91262,1.09666,0.11075,0.86162,0.33094,0.21151,1.40262,2.93354,1.07748,7.5548e-05,7.5548e-05,7.5548e-05
22,8.10717,1.49625,2.19649,1.00529,0.11075,0.86162,0.33094,0.21151,1.40262,2.93354,1.07748,7.16262e-05,7.16262e-05,7.16262e-05
23,8.45875,1.25106,1.97865,1.07,0.10747,0.86162,0.35014,0.21485,1.42261,2.91264,1.08314,6.69711e-05,6.69711e-05,6.69711e-05
24,8.76939,1.45847,2.12862,1.02608,0.10747,0.86162,0.35014,0.21485,1.42261,2.91264,1.08314,6.15827e-05,6.15827e-05,6.15827e-05
25,9.28624,1.24692,1.85302,1.02077,0.11241,0.89293,0.35837,0.21721,1.43836,2.8887,1.08848,5.54611e-05,5.54611e-05,5.54611e-05
26,9.59868,1.27716,2.02123,1.06198,0.11241,0.89293,0.35837,0.21721,1.43836,2.8887,1.08848,4.86062e-05,4.86062e-05,4.86062e-05
27,9.93583,1.47882,2.21356,0.98804,0.10771,0.89293,0.35673,0.21633,1.45137,2.85266,1.09254,4.10181e-05,4.10181e-05,4.10181e-05
28,10.228,1.34122,1.87215,0.99142,0.10771,0.89293,0.35673,0.21633,1.45137,2.85266,1.09254,3.26967e-05,3.26967e-05,3.26967e-05
29,10.5282,1.61744,2.22656,1.062,0.10736,0.90404,0.35661,0.21596,1.46976,2.81176,1.09787,2.36421e-05,2.36421e-05,2.36421e-05
30,10.8285,1.24956,1.89787,1.04029,0.10736,0.90404,0.35661,0.21596,1.46976,2.81176,1.09787,1.38542e-05,1.38542e-05,1.38542e-05
