epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.743088,1.49073,3.26955,1.05112,0.02546,0.23437,0.06832,0.04387,1.47119,3.76493,1.07668,0,0,0
2,1.07347,1.614,3.24626,1.11977,0.02659,0.23978,0.06912,0.04513,1.4621,3.76076,1.07182,1.07434e-05,1.07434e-05,1.07434e-05
3,1.45007,1.58098,3.37596,1.21289,0.02652,0.23978,0.07052,0.0471,1.45503,3.75125,1.06508,2.07535e-05,2.07535e-05,2.07535e-05
4,1.84323,1.45658,3.26319,1.10322,0.02727,0.24518,0.07182,0.04727,1.44721,3.74416,1.06202,3.00303e-05,3.00303e-05,3.00303e-05
5,2.23752,1.57854,3.23737,1.22087,0.02735,0.23734,0.0718,0.04932,1.42624,3.73371,1.051,3.85739e-05,3.85739e-05,3.85739e-05
6,2.74469,1.5688,3.20029,1.11546,0.02854,0.24283,0.07517,0.05079,1.40904,3.71799,1.04022,4.63843e-05,4.63843e-05,4.63843e-05
7,3.12145,1.6564,3.19924,1.1081,0.02772,0.23883,0.07543,0.05135,1.3993,3.7071,1.03645,5.34613e-05,5.34613e-05,5.34613e-05
8,3.48853,1.5864,3.09794,1.09343,0.02861,0.27883,0.07559,0.05123,1.39039,3.69595,1.03777,5.98051e-05,5.98051e-05,5.98051e-05
9,3.83748,1.58704,3.12966,1.15152,0.02896,0.24275,0.07667,0.05243,1.37357,3.68361,1.03518,6.54157e-05,6.54157e-05,6.54157e-05
10,4.20711,1.39759,2.86243,1.05402,0.03032,0.25067,0.07861,0.05335,1.36132,3.65578,1.02666,7.0293e-05,7.0293e-05,7.0293e-05
11,4.59245,1.49999,3.02783,1.05139,0.03066,0.26879,0.0785,0.05293,1.3538,3.62774,1.02253,7.4437e-05,7.4437e-05,7.4437e-05
12,4.94068,1.43383,2.92227,1.04743,0.03121,0.26739,0.08298,0.05728,1.34477,3.5987,1.02009,7.78478e-05,7.78478e-05,7.78478e-05
13,5.31268,1.45713,2.78255,1.08318,0.03563,0.29539,0.09489,0.06529,1.33759,3.56418,1.01625,8.05253e-05,8.05253e-05,8.05253e-05
14,5.68739,1.44794,2.9302,1.03776,0.03842,0.31531,0.10517,0.07114,1.32883,3.54308,1.01556,8.24695e-05,8.24695e-05,8.24695e-05
15,6.06186,1.38128,2.8918,1.10431,0.04151,0.34567,0.114,0.07747,1.3198,3.51559,1.01406,8.36805e-05,8.36805e-05,8.36805e-05
16,6.43074,1.58535,2.78362,1.10822,0.04658,0.42912,0.13258,0.09084,1.32711,3.48865,1.01667,8.41583e-05,8.41583e-05,8.41583e-05
17,6.79805,1.45401,2.78486,1.19738,0.05021,0.45288,0.15007,0.10106,1.33898,3.4562,1.02358,8.39027e-05,8.39027e-05,8.39027e-05
18,7.14902,1.41332,2.54633,1.05914,0.05021,0.45288,0.15007,0.10106,1.33898,3.4562,1.02358,8.29139e-05,8.29139e-05,8.29139e-05
19,7.5288,1.52236,2.5162,1.09654,0.05346,0.51257,0.16457,0.11141,1.34728,3.40495,1.02707,8.11919e-05,8.11919e-05,8.11919e-05
20,7.88826,1.4282,2.78401,1.10725,0.05346,0.51257,0.16457,0.11141,1.34728,3.40495,1.02707,7.87366e-05,7.87366e-05,7.87366e-05
21,9.0245,1.44536,2.44052,1.16246,0.0568,0.53271,0.18365,0.12508,1.33748,3.35293,1.02414,7.5548e-05,7.5548e-05,7.5548e-05
22,9.42961,1.45876,2.3582,1.14178,0.0568,0.53271,0.18365,0.12508,1.33748,3.35293,1.02414,7.16262e-05,7.16262e-05,7.16262e-05
23,9.83428,1.57207,2.4422,1.17924,0.05986,0.56556,0.20134,0.13619,1.3319,3.29602,1.02269,6.69711e-05,6.69711e-05,6.69711e-05
24,10.1828,1.44777,2.2777,1.09222,0.05986,0.56556,0.20134,0.13619,1.3319,3.29602,1.02269,6.15827e-05,6.15827e-05,6.15827e-05
25,10.5494,1.44979,2.32566,1.12163,0.06382,0.59362,0.21951,0.14952,1.32127,3.2445,1.02044,5.54611e-05,5.54611e-05,5.54611e-05
26,11.1004,1.47709,2.31752,1.14692,0.06382,0.59362,0.21951,0.14952,1.32127,3.2445,1.02044,4.86062e-05,4.86062e-05,4.86062e-05
27,11.4644,1.57815,2.27994,1.10492,0.06885,0.62553,0.23358,0.16028,1.31208,3.19493,1.01795,4.10181e-05,4.10181e-05,4.10181e-05
28,11.8207,1.52626,2.24182,1.13454,0.06885,0.62553,0.23358,0.16028,1.31208,3.19493,1.01795,3.26967e-05,3.26967e-05,3.26967e-05
29,12.1837,1.46854,2.20613,1.07252,0.07044,0.64026,0.24215,0.16685,1.30189,3.15059,1.01717,2.36421e-05,2.36421e-05,2.36421e-05
30,12.5303,1.45603,2.27816,1.12171,0.07044,0.64026,0.24215,0.16685,1.30189,3.15059,1.01717,1.38542e-05,1.38542e-05,1.38542e-05
