epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.721054,1.29486,2.22313,0.9747,0.1144,0.85253,0.36275,0.23362,1.39422,2.98029,1.07452,0,0,0
2,0.974429,1.31579,2.04078,1.02548,0.11765,0.86364,0.3174,0.20622,1.39306,2.95986,1.073,1.07434e-05,1.07434e-05,1.07434e-05
3,1.27251,1.47526,2.09546,1.0737,0.11806,0.87273,0.29918,0.1938,1.39226,2.93589,1.07304,2.07535e-05,2.07535e-05,2.07535e-05
4,1.59925,1.15673,2.10519,1.02033,0.11698,0.87475,0.30167,0.19632,1.40789,2.92082,1.08258,3.00303e-05,3.00303e-05,3.00303e-05
5,1.91009,1.17942,1.9358,1.05269,0.11597,0.87475,0.27782,0.1761,1.42448,2.90361,1.09317,3.85739e-05,3.85739e-05,3.85739e-05
6,2.21835,1.18036,1.92674,0.96603,0.11763,0.87677,0.29086,0.18381,1.44059,2.88375,1.09921,4.63843e-05,4.63843e-05,4.63843e-05
7,2.6476,1.28518,2.06955,0.98032,0.11706,0.88788,0.29827,0.18431,1.45031,2.86272,1.10341,5.34613e-05,5.34613e-05,5.34613e-05
8,2.94692,1.15855,2.12916,1.09031,0.11904,0.90606,0.29316,0.18173,1.46304,2.84412,1.10794,5.98051e-05,5.98051e-05,5.98051e-05
9,3.25565,1.2483,1.94005,0.98549,0.11706,0.90606,0.29281,0.17806,1.46419,2.81714,1.11174,6.54157e-05,6.54157e-05,6.54157e-05
10,3.57107,1.1563,1.95542,0.97435,0.11995,0.92828,0.30963,0.19175,1.46123,2.77739,1.11695,7.0293e-05,7.0293e-05,7.0293e-05
11,3.87826,1.22372,2.06226,1.02307,0.11697,0.91919,0.31027,0.19545,1.46218,2.74081,1.12408,7.4437e-05,7.4437e-05,7.4437e-05
12,4.18784,1.29092,1.74231,0.98898,0.11331,0.9101,0.29682,0.1895,1.44483,2.69169,1.11385,7.78478e-05,7.78478e-05,7.78478e-05
13,4.49154,1.24904,2.01269,1.11238,0.11672,0.9303,0.30119,0.19333,1.46356,2.66376,1.12307,8.05253e-05,8.05253e-05,8.05253e-05
14,4.79336,1.23053,1.68054,1.0558,0.11796,0.94141,0.30506,0.19455,1.46282,2.64918,1.12604,8.24695e-05,8.24695e-05,8.24695e-05
15,5.10369,1.25696,1.96337,1.00424,0.11826,0.94141,0.32152,0.20839,1.46252,2.64233,1.12794,8.36805e-05,8.36805e-05,8.36805e-05
16,5.41156,1.25129,2.26958,0.99074,0.11911,0.94141,0.32467,0.20595,1.45297,2.64772,1.12884,8.41583e-05,8.41583e-05,8.41583e-05
17,5.72368,1.18909,1.9723,0.99217,0.11763,0.94141,0.32467,0.20461,1.43881,2.6406,1.12264,8.39027e-05,8.39027e-05,8.39027e-05
18,6.03143,1.44866,1.78706,1.05889,0.1155,0.94141,0.3474,0.21856,1.44119,2.63092,1.12699,8.29139e-05,8.29139e-05,8.29139e-05
19,6.33513,1.56875,1.94902,1.00175,0.11822,0.95253,0.3562,0.22407,1.44741,2.63108,1.13176,8.11919e-05,8.11919e-05,8.11919e-05
20,6.63609,1.75855,2.27675,1.0709,0.14544,0.94494,0.36517,0.22396,1.44221,2.61359,1.12757,7.87366e-05,7.87366e-05,7.87366e-05
21,7.6165,1.26543,1.71845,1.0638,0.11938,0.96162,0.38396,0.23484,1.44491,2.60653,1.12812,7.5548e-05,7.5548e-05,7.5548e-05
22,7.97717,1.37554,2.0016,0.96947,0.15043,0.96364,0.39385,0.24145,1.44572,2.59636,1.1256,7.16262e-05,7.16262e-05,7.16262e-05
23,8.32148,1.14283,1.68836,1.0372,0.11947,0.97273,0.40152,0.24454,1.44462,2.5914,1.12399,6.69711e-05,6.69711e-05,6.69711e-05
24,8.65596,1.33728,1.86207,0.98879,0.11534,0.97273,0.40997,0.24965,1.45544,2.58629,1.12709,6.15827e-05,6.15827e-05,6.15827e-05
25,8.98722,1.19055,1.60237,1.00548,0.11463,0.97273,0.4133,0.24967,1.46366,2.57301,1.13071,5.54611e-05,5.54611e-05,5.54611e-05
26,9.32003,1.23506,1.73132,1.05472,0.11592,0.97273,0.41299,0.24907,1.46346,2.55443,1.13033,4.86062e-05,4.86062e-05,4.86062e-05
27,9.8112,1.39087,1.90309,0.9688,0.11463,0.97273,0.41183,0.25011,1.47234,2.54544,1.13347,4.10181e-05,4.10181e-05,4.10181e-05
28,10.139,1.21718,1.54979,0.95526,0.11429,0.97273,0.40355,0.24425,1.46829,2.52535,1.13237,3.26967e-05,3.26967e-05,3.26967e-05
29,10.4544,1.43624,1.93868,1.01641,0.1158,0.96364,0.39949,0.24084,1.47202,2.50449,1.13457,2.36421e-05,2.36421e-05,2.36421e-05
30,10.7705,1.12996,1.51421,0.99907,0.12811,0.96364,0.3994,0.24103,1.47324,2.48089,1.13362,1.38542e-05,1.38542e-05,1.38542e-05
