epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.717792,1.48753,2.59534,1.03152,0.10346,0.8404,0.27101,0.18583,1.35271,3.10525,1.04691,0,0,0
2,0.976157,1.42125,2.49514,1.06287,0.10377,0.84949,0.27425,0.18796,1.35253,3.09285,1.04559,1.07434e-05,1.07434e-05,1.07434e-05
3,1.29846,1.69934,2.60776,1.19682,0.10616,0.85859,0.27746,0.18917,1.35464,3.08665,1.04952,2.07535e-05,2.07535e-05,2.07535e-05
4,1.66614,1.35569,2.5075,1.07613,0.10323,0.84209,0.27467,0.18821,1.35544,3.08872,1.05268,3.00303e-05,3.00303e-05,3.00303e-05
5,2.00472,1.39444,2.4316,1.13949,0.10566,0.85118,0.27627,0.18358,1.36597,3.07837,1.05345,3.85739e-05,3.85739e-05,3.85739e-05
6,2.30975,1.39068,2.36497,1.01727,0.10577,0.84377,0.27399,0.18234,1.37578,3.06904,1.05745,4.63843e-05,4.63843e-05,4.63843e-05
7,2.74629,1.51967,2.4773,1.03634,0.10604,0.85286,0.27397,0.18777,1.36635,3.04701,1.04774,5.34613e-05,5.34613e-05,5.34613e-05
8,3.05614,1.29538,2.55918,1.14984,0.10634,0.85286,0.27525,0.19213,1.37949,3.0363,1.05045,5.98051e-05,5.98051e-05,5.98051e-05
9,3.39027,1.45767,2.33248,1.03567,0.10938,0.86195,0.27078,0.18852,1.38574,3.02385,1.05023,6.54157e-05,6.54157e-05,6.54157e-05
10,3.69564,1.36071,2.35079,1.03332,0.1107,0.85084,0.27046,0.1875,1.3881,3.00948,1.04791,7.0293e-05,7.0293e-05,7.0293e-05
11,4.00201,1.41751,2.4152,1.08132,0.11273,0.85084,0.26931,0.18619,1.39444,2.99894,1.05344,7.4437e-05,7.4437e-05,7.4437e-05
12,4.31633,1.44575,2.14662,1.03301,0.11594,0.85993,0.27536,0.18927,1.39898,2.98879,1.05441,7.78478e-05,7.78478e-05,7.78478e-05
13,4.62942,1.48232,2.41781,1.20354,0.11754,0.85993,0.27715,0.1884,1.39846,2.9795,1.05744,8.05253e-05,8.05253e-05,8.05253e-05
14,4.9373,1.42639,2.00521,1.13602,0.11924,0.85993,0.2791,0.1895,1.4064,2.97951,1.07107,8.24695e-05,8.24695e-05,8.24695e-05
15,5.2379,1.45365,2.30703,1.0528,0.12107,0.86734,0.28302,0.19269,1.39712,2.97802,1.06694,8.36805e-05,8.36805e-05,8.36805e-05
16,5.5662,1.36402,2.59932,1.03754,0.11645,0.85623,0.29628,0.19503,1.39065,2.98904,1.06959,8.41583e-05,8.41583e-05,8.41583e-05
17,5.89515,1.28772,2.36838,1.03785,0.11574,0.85253,0.30463,0.19884,1.38711,2.99356,1.07066,8.39027e-05,8.39027e-05,8.39027e-05
18,6.23013,1.5154,2.11727,1.09854,0.11582,0.85253,0.36606,0.23632,1.38811,2.9892,1.07015,8.29139e-05,8.29139e-05,8.29139e-05
19,6.55218,1.6258,2.22037,1.01771,0.11482,0.85253,0.33045,0.21333,1.39533,2.97404,1.07044,8.11919e-05,8.11919e-05,8.11919e-05
20,6.8636,1.86214,2.55811,1.11805,0.10993,0.84141,0.3466,0.21304,1.41368,2.97395,1.07557,7.87366e-05,7.87366e-05,7.87366e-05
21,7.84637,1.31824,1.9108,1.08133,0.10808,0.84141,0.33809,0.20569,1.44249,2.98415,1.0863,7.5548e-05,7.5548e-05,7.5548e-05
22,8.18419,1.47405,2.14947,1.00343,0.10685,0.84141,0.33995,0.20552,1.46393,3.00491,1.10286,7.16262e-05,7.16262e-05,7.16262e-05
23,8.50677,1.22245,1.91516,1.05667,0.10045,0.81919,0.33414,0.19853,1.47663,3.02755,1.11435,6.69711e-05,6.69711e-05,6.69711e-05
24,8.80782,1.48239,2.06164,1.0333,0.1002,0.81919,0.33499,0.19726,1.49364,3.03302,1.12439,6.15827e-05,6.15827e-05,6.15827e-05
25,9.11165,1.25959,1.79515,1.03059,0.10065,0.8303,0.33795,0.19966,1.48981,3.01588,1.12246,5.54611e-05,5.54611e-05,5.54611e-05
26,9.42447,1.25527,1.94418,1.06185,0.10275,0.84141,0.34175,0.20757,1.48093,2.99067,1.12135,4.86062e-05,4.86062e-05,4.86062e-05
27,9.92128,1.46816,2.10222,0.98138,0.10368,0.85253,0.34377,0.20969,1.4908,2.95925,1.12164,4.10181e-05,4.10181e-05,4.10181e-05
28,10.2274,1.30088,1.78161,0.97997,0.10327,0.86162,0.34359,0.21003,1.4903,2.91511,1.11634,3.26967e-05,3.26967e-05,3.26967e-05
29,10.5376,1.53482,2.09717,1.04064,0.10186,0.87071,0.34363,0.2097,1.48876,2.88141,1.11674,2.36421e-05,2.36421e-05,2.36421e-05
30,10.8448,1.2112,1.7775,1.0261,0.10842,0.90404,0.35038,0.21715,1.48465,2.85088,1.11353,1.38542e-05,1.38542e-05,1.38542e-05
