epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30677,1.28118,1.14429,1.04376,0.90511,0.71725,0.84992,0.58638,1.11095,0.97117,0.97155,1.111e-05,1.111e-05,1.111e-05
2,2.21544,1.24447,1.09371,1.00105,0.89281,0.74132,0.85237,0.58067,1.11877,0.92542,0.97206,3.27801e-05,3.27801e-05,3.27801e-05
3,3.09029,1.21555,1.13173,1.0161,0.90776,0.77821,0.8668,0.58831,1.11568,0.87211,0.96962,5.37169e-05,5.37169e-05,5.37169e-05
4,3.93817,1.18691,1.02299,1.01832,0.90639,0.79083,0.86848,0.59257,1.09789,0.8402,0.9642,7.39204e-05,7.39204e-05,7.39204e-05
5,4.95447,1.18942,0.97202,0.97876,0.89094,0.79859,0.87476,0.60228,1.08569,0.83365,0.95938,9.33907e-05,9.33907e-05,9.33907e-05
6,5.84103,1.13258,0.9286,0.9571,0.89923,0.80143,0.88375,0.60661,1.0835,0.8295,0.9587,0.000112128,0.000112128,0.000112128
7,6.75018,1.18094,1.00741,0.96705,0.90315,0.75051,0.87225,0.60012,1.09523,0.84728,0.96316,0.000130131,0.000130131,0.000130131
8,7.6149,1.1361,1.00423,0.98239,0.85321,0.76215,0.87733,0.59457,1.11047,0.87998,0.96498,0.000147402,0.000147402,0.000147402
9,8.44869,1.17003,1.00676,0.98387,0.8609,0.75669,0.88004,0.59437,1.11915,0.88058,0.9656,0.000163939,0.000163939,0.000163939
10,9.32965,1.15126,0.95504,0.97687,0.86754,0.77649,0.88435,0.59281,1.10804,0.88193,0.96217,0.000179743,0.000179743,0.000179743
11,10.1932,1.21069,1.0143,0.998,0.82743,0.83924,0.88105,0.59747,1.10663,0.89399,0.96012,0.000194814,0.000194814,0.000194814
12,11.0419,1.10166,0.97246,0.97693,0.84752,0.82178,0.88078,0.59988,1.10901,0.9118,0.95827,0.000209151,0.000209151,0.000209151
13,11.9098,1.22578,1.0544,0.99398,0.86346,0.80625,0.88047,0.61153,1.09821,0.92876,0.95587,0.000222756,0.000222756,0.000222756
14,12.8189,1.08842,0.93095,0.97366,0.88221,0.79747,0.8819,0.61894,1.08743,0.95374,0.95211,0.000235626,0.000235626,0.000235626
15,13.6857,1.13629,0.97277,0.97401,0.89844,0.79023,0.88524,0.62431,1.07776,0.95692,0.94946,0.000247764,0.000247764,0.000247764
16,14.5548,1.13324,0.96045,0.97613,0.90105,0.7966,0.88949,0.6215,1.07862,0.95152,0.94969,0.000259169,0.000259169,0.000259169
17,15.3986,1.17406,0.9978,0.97773,0.88008,0.80996,0.88574,0.59938,1.11972,0.94328,0.96077,0.00026984,0.00026984,0.00026984
18,16.2412,1.10823,0.93011,0.9765,0.88213,0.81903,0.88444,0.58451,1.14362,0.92071,0.96705,0.000279778,0.000279778,0.000279778
19,17.1184,1.07975,0.92283,0.99667,0.88876,0.78026,0.87966,0.59548,1.10583,0.92114,0.9559,0.000288982,0.000288982,0.000288982
20,17.9889,1.11036,0.92427,0.97988,0.84803,0.77558,0.8664,0.59521,1.08871,0.96572,0.95162,0.000297454,0.000297454,0.000297454
21,18.8424,1.12929,0.94709,0.97958,0.8219,0.76811,0.85195,0.5947,1.10576,1.01073,0.95839,0.000305192,0.000305192,0.000305192
22,19.6735,1.17711,0.93752,1.00886,0.85818,0.73998,0.84976,0.59888,1.09246,1.01661,0.95456,0.000312197,0.000312197,0.000312197
23,20.5172,1.11367,0.94655,0.96646,0.82851,0.77629,0.86054,0.60571,1.07493,0.97567,0.94786,0.000318468,0.000318468,0.000318468
24,21.3699,1.10859,0.9288,0.96138,0.86367,0.76297,0.87199,0.60959,1.08495,0.93759,0.95135,0.000324006,0.000324006,0.000324006
25,22.2238,1.14692,0.94463,0.97891,0.84525,0.76798,0.87952,0.5948,1.12455,0.94401,0.96062,0.000328812,0.000328812,0.000328812
26,23.1212,1.19316,0.96881,1.02087,0.83666,0.76919,0.87968,0.59485,1.10616,0.95464,0.95157,0.000332883,0.000332883,0.000332883
27,24.1506,1.14558,0.96085,0.98173,0.8169,0.80688,0.8842,0.60061,1.09812,0.94542,0.94837,0.000336222,0.000336222,0.000336222
28,25.0033,1.17624,0.98217,0.97255,0.8169,0.80688,0.8842,0.60061,1.09812,0.94542,0.94837,0.000338827,0.000338827,0.000338827
29,25.84,1.17917,0.96911,0.9885,0.86191,0.79571,0.89138,0.60448,1.10377,0.94558,0.95025,0.000340699,0.000340699,0.000340699
30,26.6662,1.15903,0.94456,0.96722,0.85995,0.81904,0.90351,0.62646,1.07003,0.92038,0.94398,0.000341838,0.000341838,0.000341838
31,27.522,1.20942,0.97521,0.99677,0.85995,0.81904,0.90351,0.62646,1.07003,0.92038,0.94398,0.000342244,0.000342244,0.000342244
32,28.4062,1.16871,0.95813,0.99376,0.88152,0.84329,0.9111,0.60116,1.11005,0.88945,0.95684,0.000341916,0.000341916,0.000341916
33,29.2473,1.13049,0.9107,0.99693,0.90558,0.82239,0.9009,0.60786,1.11674,0.85093,0.96112,0.000340855,0.000340855,0.000340855
34,30.0761,1.12043,0.91696,0.96136,0.90558,0.82239,0.9009,0.60786,1.11674,0.85093,0.96112,0.000339061,0.000339061,0.000339061
35,30.9259,1.15829,0.95978,0.98102,0.89303,0.84521,0.90661,0.62242,1.06988,0.81586,0.94902,0.000336533,0.000336533,0.000336533
36,31.7967,1.18319,0.9369,0.95488,0.91617,0.8277,0.89939,0.62321,1.06987,0.79247,0.94658,0.000333272,0.000333272,0.000333272
37,32.6696,1.12279,0.9319,0.96342,0.91617,0.8277,0.89939,0.62321,1.06987,0.79247,0.94658,0.000329278,0.000329278,0.000329278
38,33.513,1.14511,0.93445,0.99107,0.90785,0.8371,0.90991,0.63836,1.04197,0.77579,0.93856,0.000324551,0.000324551,0.000324551
39,34.3717,1.07863,0.8773,0.97871,0.88491,0.84342,0.91077,0.64999,1.00904,0.77769,0.93089,0.00031909,0.00031909,0.00031909
40,35.2319,1.06692,0.89438,0.97423,0.88491,0.84342,0.91077,0.64999,1.00904,0.77769,0.93089,0.000312896,0.000312896,0.000312896
41,36.0991,1.19884,0.91246,0.97364,0.90673,0.83016,0.92143,0.65276,0.99889,0.78181,0.92807,0.000305969,0.000305969,0.000305969
42,37.0729,1.17394,0.95167,0.989,0.91051,0.8248,0.91538,0.63328,1.03703,0.79367,0.93652,0.000298309,0.000298309,0.000298309
43,37.9067,1.06683,0.90752,0.95914,0.91051,0.8248,0.91538,0.63328,1.03703,0.79367,0.93652,0.000289915,0.000289915,0.000289915
44,38.7558,1.12451,0.89836,0.97478,0.90669,0.85406,0.9143,0.6311,1.05382,0.78402,0.94065,0.000280789,0.000280789,0.000280789
45,39.5745,1.11031,0.90729,0.96773,0.90669,0.85406,0.9143,0.6311,1.05382,0.78402,0.94065,0.000270928,0.000270928,0.000270928
46,40.4299,1.10718,0.89656,0.96105,0.92253,0.84486,0.92204,0.64105,1.02118,0.7606,0.93333,0.000260335,0.000260335,0.000260335
