epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35692,1.83538,4.19339,1.3103,0.00928,0.09559,0.01105,0.00633,1.61526,3.92617,1.13894,0,0,0
2,1.66476,1.9026,4.1696,1.3799,0.01019,0.10351,0.01107,0.00583,1.61483,3.92681,1.14121,1.07434e-05,1.07434e-05,1.07434e-05
3,2.01082,1.95487,4.15736,1.53538,0.01193,0.11151,0.01295,0.00708,1.60963,3.92775,1.13933,2.07535e-05,2.07535e-05,2.07535e-05
4,2.51056,1.83476,4.12552,1.35428,0.01139,0.10367,0.01268,0.00714,1.59004,3.92674,1.13273,3.00303e-05,3.00303e-05,3.00303e-05
5,2.87842,1.78789,4.10345,1.46971,0.01146,0.10367,0.0116,0.00689,1.58854,3.92645,1.13181,3.85739e-05,3.85739e-05,3.85739e-05
6,3.20748,1.85529,4.13722,1.35711,0.0114,0.10375,0.01132,0.00662,1.55424,3.92081,1.1172,4.63843e-05,4.63843e-05,4.63843e-05
7,3.54389,1.88936,4.13998,1.27713,0.01281,0.12343,0.01305,0.00723,1.53691,3.91975,1.11002,5.34613e-05,5.34613e-05,5.34613e-05
8,3.90083,1.89049,4.02583,1.3088,0.01344,0.13912,0.014,0.00726,1.51373,3.9179,1.10297,5.98051e-05,5.98051e-05,5.98051e-05
9,4.25885,1.81664,4.02647,1.33128,0.01394,0.1548,0.01477,0.00823,1.50506,3.91242,1.09936,6.54157e-05,6.54157e-05,6.54157e-05
10,4.6175,1.57953,3.87082,1.15735,0.01522,0.17449,0.01838,0.00949,1.49287,3.9036,1.09474,7.0293e-05,7.0293e-05,7.0293e-05
11,4.97531,1.65253,4.00194,1.18997,0.01836,0.18021,0.0265,0.01475,1.48463,3.89667,1.09016,7.4437e-05,7.4437e-05,7.4437e-05
12,5.33178,1.63882,3.90578,1.17381,0.0215,0.15894,0.03364,0.01891,1.49396,3.88797,1.09388,7.78478e-05,7.78478e-05,7.78478e-05
13,5.73731,1.6115,3.82389,1.19314,0.02109,0.1693,0.03696,0.02228,1.48719,3.8804,1.09052,8.05253e-05,8.05253e-05,8.05253e-05
14,6.15132,1.61726,3.83356,1.162,0.02323,0.18011,0.04379,0.02643,1.48379,3.87175,1.091,8.24695e-05,8.24695e-05,8.24695e-05
15,6.5488,1.47482,3.72616,1.19713,0.02228,0.18403,0.04389,0.02728,1.49284,3.86204,1.09056,8.36805e-05,8.36805e-05,8.36805e-05
16,6.91225,1.75766,3.68645,1.20729,0.02642,0.21305,0.05127,0.02894,1.49751,3.85637,1.09415,8.41583e-05,8.41583e-05,8.41583e-05
17,7.28894,1.53835,3.65397,1.25841,0.0256,0.21713,0.05379,0.02983,1.51138,3.85501,1.10084,8.39027e-05,8.39027e-05,8.39027e-05
18,7.67542,1.49362,3.45991,1.09619,0.0256,0.21713,0.05379,0.02983,1.51138,3.85501,1.10084,8.29139e-05,8.29139e-05,8.29139e-05
19,8.06396,1.59597,3.49255,1.13248,0.02564,0.22113,0.06058,0.03311,1.51383,3.84631,1.09989,8.11919e-05,8.11919e-05,8.11919e-05
20,8.42877,1.49375,3.53983,1.16529,0.02564,0.22113,0.06058,0.03311,1.51383,3.84631,1.09989,7.87366e-05,7.87366e-05,7.87366e-05
21,9.73571,1.59628,3.25775,1.22037,0.02472,0.22113,0.06135,0.03436,1.50875,3.83703,1.09727,7.5548e-05,7.5548e-05,7.5548e-05
22,10.1827,1.54125,3.17506,1.17259,0.02472,0.22113,0.06135,0.03436,1.50875,3.83703,1.09727,7.16262e-05,7.16262e-05,7.16262e-05
23,10.6244,1.62237,3.26326,1.22195,0.02464,0.22113,0.062,0.03541,1.50659,3.82122,1.0953,6.69711e-05,6.69711e-05,6.69711e-05
24,11.1936,1.51473,3.11202,1.10602,0.02464,0.22113,0.062,0.03541,1.50659,3.82122,1.0953,6.15827e-05,6.15827e-05,6.15827e-05
25,11.5718,1.48582,3.15919,1.15992,0.02624,0.23194,0.06792,0.03988,1.49358,3.80502,1.09181,5.54611e-05,5.54611e-05,5.54611e-05
26,11.9238,1.55409,3.10771,1.16987,0.02624,0.23194,0.06792,0.03988,1.49358,3.80502,1.09181,4.86062e-05,4.86062e-05,4.86062e-05
27,12.286,1.65963,3.121,1.16315,0.02614,0.23194,0.07018,0.04331,1.48738,3.78382,1.08594,4.10181e-05,4.10181e-05,4.10181e-05
28,12.6403,1.58863,2.99361,1.14906,0.02614,0.23194,0.07018,0.04331,1.48738,3.78382,1.08594,3.26967e-05,3.26967e-05,3.26967e-05
29,13.0013,1.57128,2.97513,1.11066,0.02581,0.2383,0.07145,0.04466,1.48196,3.77186,1.08348,2.36421e-05,2.36421e-05,2.36421e-05
30,13.3501,1.51658,3.03302,1.13619,0.02581,0.2383,0.07145,0.04466,1.48196,3.77186,1.08348,1.38542e-05,1.38542e-05,1.38542e-05
