epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.768656,1.46217,2.54571,1.03237,0.07183,0.64566,0.24533,0.16866,1.30081,3.14121,1.01661,0,0,0
2,1.10428,1.50905,2.40147,1.09011,0.0734,0.65351,0.24472,0.16791,1.30132,3.13175,1.01786,1.10733e-05,1.10733e-05,1.10733e-05
3,1.47,1.45099,2.64087,1.14368,0.07297,0.69343,0.2522,0.17401,1.28513,3.11196,1.01376,2.20733e-05,2.20733e-05,2.20733e-05
4,1.86402,1.31286,2.54109,1.0335,0.07167,0.69343,0.2647,0.18346,1.27783,3.09485,1.01215,3.3e-05,3.3e-05,3.3e-05
5,2.25077,1.40995,2.47958,1.15283,0.07355,0.74519,0.26735,0.1856,1.28318,3.07921,1.0141,4.38534e-05,4.38534e-05,4.38534e-05
6,2.61437,1.37414,2.32499,1.04899,0.07403,0.74911,0.27743,0.19329,1.28491,3.05466,1.01413,5.46334e-05,5.46334e-05,5.46334e-05
7,3.11752,1.50444,2.47636,1.0519,0.07311,0.75696,0.28209,0.19547,1.28484,3.03511,1.01513,6.53401e-05,6.53401e-05,6.53401e-05
8,3.47904,1.39123,2.33606,1.02646,0.07469,0.77169,0.28693,0.19785,1.2807,3.01729,1.0173,7.59735e-05,7.59735e-05,7.59735e-05
9,3.85074,1.43019,2.34481,1.08651,0.07575,0.7371,0.29745,0.20484,1.2821,3.00621,1.01914,8.65336e-05,8.65336e-05,8.65336e-05
10,4.22774,1.26868,2.21396,1.01042,0.07718,0.7425,0.30911,0.20996,1.28436,2.9977,1.02084,9.70203e-05,9.70203e-05,9.70203e-05
11,4.59667,1.39528,2.3791,1.01216,0.07838,0.7425,0.3165,0.21355,1.2732,3.00086,1.02263,0.000107434,0.000107434,0.000107434
12,4.96324,1.29307,2.17594,0.99592,0.07911,0.73858,0.32103,0.21556,1.25776,2.98915,1.02271,0.000117774,0.000117774,0.000117774
13,5.33224,1.33651,1.98168,1.04639,0.08108,0.7385,0.33435,0.223,1.26798,2.98532,1.02673,0.000128041,0.000128041,0.000128041
14,5.70611,1.37081,2.36337,1.0053,0.08274,0.78391,0.34156,0.22849,1.27381,2.97497,1.02901,0.000138234,0.000138234,0.000138234
15,6.07329,1.29837,2.25382,1.06797,0.08464,0.79864,0.35087,0.23335,1.27614,2.95021,1.03184,0.000148354,0.000148354,0.000148354
16,6.43497,1.48278,2.13157,1.08986,0.23605,0.58732,0.36652,0.25053,1.27767,2.90105,1.03332,0.000158401,0.000158401,0.000158401
17,6.80335,1.33565,2.06469,1.13365,0.3947,0.33972,0.38474,0.26004,1.29243,2.83675,1.0403,0.000168374,0.000168374,0.000168374
18,7.15204,1.35046,1.90517,1.03622,0.3947,0.33972,0.38474,0.26004,1.29243,2.83675,1.0403,0.000178274,0.000178274,0.000178274
19,7.52381,1.41381,1.83524,1.05029,0.80618,0.19887,0.39739,0.26678,1.29828,2.72452,1.04562,0.000188101,0.000188101,0.000188101
20,7.88281,1.31826,2.10349,1.05003,0.80618,0.19887,0.39739,0.26678,1.29828,2.72452,1.04562,0.000197855,0.000197855,0.000197855
21,8.26223,1.5039,2.14383,1.03534,0.70642,0.23734,0.41056,0.27575,1.28999,2.61037,1.04501,0.000207535,0.000207535,0.000207535
22,8.62285,1.52297,1.91159,1.04061,0.70642,0.23734,0.41056,0.27575,1.28999,2.61037,1.04501,0.000217142,0.000217142,0.000217142
23,8.99971,1.42651,1.95644,1.15107,0.64619,0.25123,0.42059,0.28514,1.27446,2.53286,1.04408,0.000226675,0.000226675,0.000226675
24,9.36609,1.4338,1.94352,1.06638,0.64619,0.25123,0.42059,0.28514,1.27446,2.53286,1.04408,0.000236135,0.000236135,0.000236135
25,9.72755,1.34343,1.84861,1.01796,0.61124,0.25162,0.41641,0.28515,1.25168,2.49183,1.03936,0.000245522,0.000245522,0.000245522
26,10.2245,1.34886,1.99698,1.05316,0.61124,0.25162,0.41641,0.28515,1.25168,2.49183,1.03936,0.000254836,0.000254836,0.000254836
27,10.5876,1.18158,1.78409,1.00482,0.64482,0.26902,0.42508,0.29302,1.22071,2.46802,1.02877,0.000264076,0.000264076,0.000264076
28,10.9794,1.37134,1.77247,1.05306,0.64482,0.26902,0.42508,0.29302,1.22071,2.46802,1.02877,0.000273243,0.000273243,0.000273243
29,11.3601,1.40528,1.84693,0.99519,0.69865,0.30299,0.42801,0.29195,1.20493,2.44943,1.03174,0.000282336,0.000282336,0.000282336
30,11.7063,1.22368,1.80882,0.98239,0.69865,0.30299,0.42801,0.29195,1.20493,2.44943,1.03174,0.000291356,0.000291356,0.000291356
31,12.0581,1.37362,1.80112,1.01521,0.70603,0.30908,0.43191,0.2958,1.21566,2.43296,1.04603,0.000300303,0.000300303,0.000300303
32,12.4162,1.18657,1.67666,1.02058,0.70603,0.30908,0.43191,0.2958,1.21566,2.43296,1.04603,0.000309177,0.000309177,0.000309177
33,12.7909,1.39202,1.81676,1.05263,0.6782,0.29659,0.41909,0.27957,1.25633,2.46791,1.07321,0.000317977,0.000317977,0.000317977
34,13.1284,1.28525,1.65127,1.07569,0.6782,0.29659,0.41909,0.27957,1.25633,2.46791,1.07321,0.000326704,0.000326704,0.000326704
35,13.4827,1.39506,1.85274,1.05367,0.65947,0.32876,0.41337,0.27944,1.23159,2.46136,1.06974,0.000335358,0.000335358,0.000335358
36,13.8289,1.29481,1.66085,1.00169,0.65947,0.32876,0.41337,0.27944,1.23159,2.46136,1.06974,0.000343938,0.000343938,0.000343938
37,14.1856,1.20925,1.55673,1.03164,0.6297,0.33088,0.4277,0.28588,1.22444,2.38516,1.06978,0.000352445,0.000352445,0.000352445
38,14.5233,1.217,1.77915,1.02066,0.6297,0.33088,0.4277,0.28588,1.22444,2.38516,1.06978,0.000360878,0.000360878,0.000360878
