epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29314,1.78407,2.48669,1.26295,0.50953,0.16952,0.25309,0.1548,1.62779,2.76165,1.20203,1.111e-05,1.111e-05,1.111e-05
2,2.11499,1.73809,2.32053,1.19568,0.50809,0.19599,0.25932,0.16,1.61066,2.71532,1.18875,3.22301e-05,3.22301e-05,3.22301e-05
3,2.98119,1.70171,2.44478,1.21304,0.49241,0.21171,0.27433,0.17324,1.58035,2.63982,1.16916,5.18837e-05,5.18837e-05,5.18837e-05
4,3.82766,1.73183,2.32906,1.23408,0.47376,0.23678,0.29226,0.18449,1.57424,2.5616,1.1648,7.00708e-05,7.00708e-05,7.00708e-05
5,4.82524,1.72211,2.23732,1.16063,0.48725,0.26729,0.30474,0.19167,1.57605,2.49563,1.15713,8.67913e-05,8.67913e-05,8.67913e-05
6,5.68491,1.62212,2.12064,1.12257,0.4857,0.29964,0.32377,0.20146,1.56068,2.40333,1.14633,0.000102045,0.000102045,0.000102045
7,6.55314,1.66315,2.14268,1.12573,0.3829,0.32526,0.31834,0.1915,1.57386,2.31801,1.14287,0.000115833,0.000115833,0.000115833
8,7.38318,1.66096,2.091,1.15994,0.52495,0.36629,0.32908,0.19504,1.55467,2.1786,1.12979,0.000128154,0.000128154,0.000128154
9,8.19836,1.61632,1.94723,1.12103,0.52764,0.3849,0.32878,0.19255,1.53357,2.12579,1.12359,0.000139008,0.000139008,0.000139008
10,9.03277,1.58722,2.00953,1.11157,0.53503,0.41086,0.34883,0.20794,1.5104,2.0586,1.11847,0.000148396,0.000148396,0.000148396
11,9.89753,1.71269,2.01891,1.17825,0.53628,0.45118,0.36397,0.21892,1.49463,1.98742,1.11619,0.000156318,0.000156318,0.000156318
12,10.735,1.58782,1.93464,1.13629,0.52078,0.4628,0.37683,0.23,1.49312,1.91836,1.1168,0.000162773,0.000162773,0.000162773
13,11.5837,1.70813,1.98408,1.15922,0.52822,0.50074,0.38446,0.23518,1.49285,1.8616,1.12201,0.000167761,0.000167761,0.000167761
14,12.415,1.47857,1.83685,1.10274,0.53102,0.49348,0.38981,0.23864,1.4842,1.82587,1.12062,0.000171283,0.000171283,0.000171283
15,13.2536,1.58633,1.90745,1.11672,0.56461,0.46557,0.39874,0.24733,1.47124,1.79494,1.11657,0.000173338,0.000173338,0.000173338
16,14.0902,1.53115,1.83227,1.10239,0.5663,0.47279,0.40921,0.25005,1.46782,1.76669,1.11225,0.000173927,0.000173927,0.000173927
17,14.9552,1.55798,1.85275,1.09466,0.57394,0.49672,0.40655,0.24452,1.47786,1.7528,1.11138,0.000173049,0.000173049,0.000173049
18,15.7606,1.51073,1.72129,1.09444,0.58302,0.48507,0.38973,0.23191,1.47503,1.73881,1.10699,0.000170705,0.000170705,0.000170705
19,16.5866,1.50736,1.73673,1.13416,0.59919,0.47246,0.39269,0.2338,1.46469,1.72895,1.10335,0.000166894,0.000166894,0.000166894
20,17.4149,1.53135,1.72637,1.10723,0.6055,0.48777,0.39468,0.237,1.46993,1.72509,1.10352,0.000161617,0.000161617,0.000161617
21,19.2183,1.61822,1.8099,1.12459,0.59361,0.48713,0.3957,0.23346,1.51752,1.71193,1.12271,0.000154873,0.000154873,0.000154873
22,20.0539,1.49757,1.73914,1.11692,0.59586,0.46446,0.40637,0.23433,1.56864,1.69395,1.14525,0.000146663,0.000146663,0.000146663
23,20.8664,1.55206,1.63864,1.13879,0.59019,0.45948,0.41918,0.24133,1.59308,1.66503,1.15948,0.000136986,0.000136986,0.000136986
24,21.8616,1.5201,1.65678,1.1376,0.59056,0.46322,0.43064,0.24732,1.56897,1.63001,1.15293,0.000125843,0.000125843,0.000125843
25,22.6772,1.57289,1.77054,1.11933,0.62367,0.45515,0.44974,0.26786,1.51186,1.60404,1.13116,0.000113233,0.000113233,0.000113233
26,23.4966,1.47469,1.62982,1.11743,0.62216,0.49648,0.46353,0.28067,1.45248,1.58989,1.10912,9.91567e-05,9.91567e-05,9.91567e-05
27,24.3242,1.50185,1.65926,1.11294,0.63958,0.49682,0.47975,0.2953,1.41367,1.56996,1.09451,8.36139e-05,8.36139e-05,8.36139e-05
28,25.148,1.45742,1.5766,1.11285,0.63958,0.49682,0.47975,0.2953,1.41367,1.56996,1.09451,6.66044e-05,6.66044e-05,6.66044e-05
29,25.9809,1.43146,1.61083,1.08096,0.6422,0.50865,0.48987,0.30124,1.39862,1.5511,1.08574,4.81285e-05,4.81285e-05,4.81285e-05
30,26.8119,1.45181,1.60392,1.11403,0.65246,0.5007,0.49754,0.30368,1.39449,1.53542,1.08258,2.81861e-05,2.81861e-05,2.81861e-05
